	0
539	ENSG00000135766
540	ENSG00000223930
541	ENSG00000283538
542	ENSG00000213430
543	ENSG00000177508
544	ENSG00000143771
545	ENSG00000260704
546	ENSG00000173402
547	ENSG00000280087
548	ENSG00000231329
549	ENSG00000158373
550	ENSG00000224067
551	ENSG00000188783
552	ENSG00000285035
553	ENSG00000168000
554	ENSG00000138604
555	ENSG00000177699
556	ENSG00000250995
557	ENSG00000274810
558	ENSG00000167565
559	ENSG00000260495
560	ENSG00000230291
561	ENSG00000044459
562	ENSG00000171772
563	ENSG00000083097
564	ENSG00000272788
565	ENSG00000114126
566	ENSG00000141401
567	ENSG00000267757
568	ENSG00000213347
569	ENSG00000272419
570	ENSG00000130332
571	ENSG00000077800
572	ENSG00000198099
573	ENSG00000183979
574	ENSG00000230804
575	ENSG00000251129
576	ENSG00000235554
577	ENSG00000126821
578	ENSG00000167183
579	ENSG00000116521
580	ENSG00000224963
581	ENSG00000113593
582	ENSG00000244267
583	ENSG00000168904
584	ENSG00000152242
585	ENSG00000211933
586	ENSG00000250091
587	ENSG00000274114
588	ENSG00000132692
589	ENSG00000149476
590	ENSG00000116717
591	ENSG00000188153
592	ENSG00000126464
593	ENSG00000214826
594	ENSG00000182484
595	ENSG00000274322
596	ENSG00000146282
597	ENSG00000214655
598	ENSG00000150991
599	ENSG00000267561
600	ENSG00000258377
601	ENSG00000273797
602	ENSG00000262831
603	ENSG00000039560
604	ENSG00000099968
605	ENSG00000185031
606	ENSG00000160973
607	ENSG00000226121
608	ENSG00000012211
609	ENSG00000213171
610	ENSG00000164879
611	ENSG00000227308
612	ENSG00000162992
613	ENSG00000152492
614	ENSG00000251468
615	ENSG00000122188
616	ENSG00000132274
617	ENSG00000108932
618	ENSG00000149090
619	ENSG00000167920
620	ENSG00000224251
621	ENSG00000163659
622	ENSG00000280120
623	ENSG00000267216
624	ENSG00000272158
625	ENSG00000134779
626	ENSG00000279537
627	ENSG00000258791
628	ENSG00000223575
629	ENSG00000126768
630	ENSG00000112511
631	ENSG00000117632
632	ENSG00000147036
633	ENSG00000179409
634	ENSG00000261360
635	ENSG00000225792
636	ENSG00000091656
637	ENSG00000251013
638	ENSG00000109113
639	ENSG00000281772
640	ENSG00000197757
641	ENSG00000211809
642	ENSG00000175931
643	ENSG00000145431
644	ENSG00000253414
645	ENSG00000140961
646	ENSG00000120265
647	ENSG00000253785
648	ENSG00000130208
649	ENSG00000243479
650	ENSG00000144589
651	ENSG00000272523
652	ENSG00000105258
653	ENSG00000164506
654	ENSG00000277873
655	ENSG00000271998
656	ENSG00000235319
657	ENSG00000176868
658	ENSG00000177432
659	ENSG00000234130
660	ENSG00000118420
661	ENSG00000261786
662	ENSG00000270820
663	ENSG00000166676
664	ENSG00000215007
665	ENSG00000139517
666	ENSG00000169313
667	ENSG00000197020
668	ENSG00000240520
669	ENSG00000235088
670	ENSG00000281005
671	ENSG00000196209
672	ENSG00000062370
673	ENSG00000104497
674	ENSG00000256040
675	ENSG00000269825
676	ENSG00000233614
677	ENSG00000180769
678	ENSG00000124789
679	ENSG00000233585
680	ENSG00000227773
681	ENSG00000101425
682	ENSG00000154102
683	ENSG00000080709
684	ENSG00000108021
685	ENSG00000224531
686	ENSG00000281469
687	ENSG00000132514
688	ENSG00000158856
689	ENSG00000168556
690	ENSG00000004766
691	ENSG00000225489
692	ENSG00000129116
693	ENSG00000255202
694	ENSG00000271387
695	ENSG00000140798
696	ENSG00000105143
697	ENSG00000257594
698	ENSG00000243911
699	ENSG00000229453
